time,velocity,gamma,altitude
2.280000000000000000e+02,7.389677209549091685e+02,5.001070457344293452e+00,7.747211823764498695e+04
2.290000000000000000e+02,7.365122686401510919e+02,5.003705199771538048e+00,7.750955063764676743e+04
2.300000000000000000e+02,7.340744668247639311e+02,5.006246449886029737e+00,7.754643896884622518e+04
2.310000000000000000e+02,7.316541393679206067e+02,5.008694911883369016e+00,7.758278965481733030e+04
2.320000000000000000e+02,7.292511913498607328e+02,5.011051233941572036e+00,7.761860403947375016e+04
2.330000000000000000e+02,7.268656090718901623e+02,5.013316008221075926e+00,7.765387838706886396e+04
2.340000000000000000e+02,7.244974600563813283e+02,5.015489770864730801e+00,7.768860388219574816e+04
2.350000000000000000e+02,7.221468930467730161e+02,5.017573001997807758e+00,7.772276662978716195e+04
2.360000000000000000e+02,7.198141380075708184e+02,5.019566125727992656e+00,7.775634765511557634e+04
2.370000000000000000e+02,7.174995061243464534e+02,5.021469510145391446e+00,7.778932290379317419e+04
2.380000000000000000e+02,7.152033898037384461e+02,5.023283467322525730e+00,7.782166324177183560e+04
2.390000000000000000e+02,7.129262626734514470e+02,5.025008253314334539e+00,7.785333445534313796e+04
2.400000000000000000e+02,7.106686795822570275e+02,5.026644068158176104e+00,7.788429725113832683e+04
2.410000000000000000e+02,7.084312765999927706e+02,5.028191055873822535e+00,7.791450725612841779e+04
2.420000000000000000e+02,7.062147710175630664e+02,5.029649304463467807e+00,7.794391501762406551e+04
2.430000000000000000e+02,7.040199613469387714e+02,5.031018845911719772e+00,7.797246600327565102e+04
2.440000000000000000e+02,7.018477273211570946e+02,5.032299656185606374e+00,7.800010060107326717e+04
2.450000000000000000e+02,6.996990298943218249e+02,5.033491655234570317e+00,7.802675411934667500e+04
2.460000000000000000e+02,6.975749112416032176e+02,5.034594706990473512e+00,7.805235678676536190e+04
2.470000000000000000e+02,6.954764947592379940e+02,5.035608619367596184e+00,7.807683375233851257e+04
2.480000000000000000e+02,6.934049850645294555e+02,5.036533144262633321e+00,7.810010508541500894e+04
2.490000000000000000e+02,6.913616679958471423e+02,5.037367977554699117e+00,7.812208577568343026e+04
2.500000000000000000e+02,6.893479106126274019e+02,5.038112759105325189e+00,7.814268573317206756e+04
2.510000000000000000e+02,6.873651611953729343e+02,5.038767072758460586e+00,7.816180978824889462e+04
2.520000000000000000e+02,6.854149492456526787e+02,5.039330446340470004e+00,7.817935769162159704e+04
2.530000000000000000e+02,6.834988854861024947e+02,5.039802351660139124e+00,7.819522411433757225e+04
2.540000000000000000e+02,6.816186618604245950e+02,5.040182204508667496e+00,7.820929864778388583e+04
