time,v, gamma, altitude, skin_temp
6.080000000000000426e+01,2.071179234055126926e+03,1.342106097215552962e+00,3.482016888036645832e+04,3.224284052746485258e+02
6.090000000000000568e+01,2.070190917327680381e+03,1.343498378470250776e+00,3.482427984129489050e+04,3.224450891442639318e+02
6.100000000000000000e+01,2.069203699154436890e+03,1.344888098580287794e+00,3.482842921566233417e+04,3.224617383513169102e+02
6.110000000000000142e+01,2.068217567927204982e+03,1.346275254357985673e+00,3.483262003258466575e+04,3.224783529134173818e+02
6.120000000000000284e+01,2.067232510751973223e+03,1.347659843037940064e+00,3.483685555914105498e+04,3.224949328520329459e+02
6.130000000000000426e+01,2.066248513448912945e+03,1.349041862277022830e+00,3.484113930037395767e+04,3.225114781924889371e+02
6.140000000000000568e+01,2.065265560552376428e+03,1.350421310154380272e+00,3.484547499928915204e+04,3.225279889639685962e+02
6.150000000000000000e+01,2.064283635310897807e+03,1.351798185171434685e+00,3.484986663685567328e+04,3.225444651995129561e+02
6.160000000000000142e+01,2.063302719687192621e+03,1.353172486251883244e+00,3.485431843200589356e+04,3.225609069360208423e+02
6.170000000000000284e+01,2.062322794358157807e+03,1.354544212741698228e+00,3.485883484163545654e+04,3.225773142142488155e+02
6.180000000000000426e+01,2.061343838714872163e+03,1.355913364409127686e+00,3.486342056060329924e+04,3.225936870788113424e+02
6.190000000000000568e+01,2.060365830862595885e+03,1.357279941444694105e+00,3.486808052173166652e+04,3.226100255781806823e+02
6.200000000000000000e+01,2.059388747620770573e+03,1.358643944461195741e+00,3.487281989580609661e+04,3.226263297646867159e+02
6.210000000000000142e+01,2.058412564523019682e+03,1.360005374493706398e+00,3.487764409157541377e+04,3.226425996945174006e+02
6.220000000000000284e+01,2.057437255817148525e+03,1.361364232999574542e+00,3.488255875575175742e+04,3.226588354277182589e+02
6.230000000000000426e+01,2.056462794465142451e+03,1.362720521858423961e+00,3.488756977301054576e+04,3.226750370281927758e+02
6.240000000000000568e+01,2.055489152143170486e+03,1.364074243372153772e+00,3.489268326599049760e+04,3.226912045637020583e+02
6.250000000000000000e+01,2.054516299241581692e+03,1.365425400264938416e+00,3.489790559529363236e+04,3.227073381058652330e+02
6.260000000000000142e+01,2.053544204864906987e+03,1.366773995683227882e+00,3.490324335948526277e+04,3.227234377301591053e+02
6.270000000000000284e+01,2.052572836831859149e+03,1.368120033195746599e+00,3.490870339509398764e+04,3.227395035159182726e+02
6.280000000000000426e+01,2.051602161675332354e+03,1.369463516793494984e+00,3.491429277661172091e+04,3.227555355463351248e+02
6.290000000000000568e+01,2.050632144642402636e+03,1.370804450889748338e+00,3.492001881649366260e+04,3.227715339084599009e+02
6.300000000000000000e+01,2.049662749694326521e+03,1.372142840320057067e+00,3.492588906515829876e+04,3.227874986932006323e+02
6.310000000000000142e+01,2.048693939506543757e+03,1.373478690342247344e+00,3.493191131098742335e+04,3.228034299953231425e+02
6.320000000000000284e+01,2.047725675468674126e+03,1.374812006636420225e+00,3.493809358032613090e+04,3.228193279134509908e+02
6.330000000000000426e+01,2.046757917684519725e+03,1.376142795304952093e+00,3.494444413748280203e+04,3.228351925500656989e+02
6.340000000000000568e+01,2.045790624972064052e+03,1.377471062872494434e+00,3.495097148472911067e+04,3.228510240115064107e+02
6.350000000000000000e+01,2.044824292734832852e+03,1.378796545814586771e+00,3.495759703653866745e+04,3.228668201142573366e+02
6.360000000000000142e+01,2.043859634839772752e+03,1.380118887982225262e+00,3.496420468428277673e+04,3.228825778954652606e+02
6.370000000000000284e+01,2.042896647480231422e+03,1.381438104966633107e+00,3.497079354097133910e+04,3.228982975483783662e+02
6.380000000000000426e+01,2.041935322597331833e+03,1.382754214422259320e+00,3.497736341794860346e+04,3.229139792834718037e+02
